,cve_id,publish_date,cvss_score,access_level,complexity,product_type,vendor,product,references,num_exploits,exploits,has_patch,dirty,gentoo_opensuse_rustsec,oracle,apple,ibm,ubuntu,debian,android,android_pixel,bugzilla_redhat,microsoft,adobe,cisco,zerodayinitiative,fedoraproject,earliest_patch
0,CVE-2020-0001,2020-01-08,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-01-01'],0,[],1,1,,,,,,,2020-01-01,,,,,,,,2020-01-01
1,CVE-2020-0002,2020-01-08,9.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-01-01'],0,[],1,1,,,,,,,2020-01-01,,,,,,,,2020-01-01
2,CVE-2020-0003,2020-01-08,3.7,Local,High,OS,Google,Android,['https://source.android.com/security/bulletin/2020-01-01'],0,[],1,1,,,,,,,2020-01-01,,,,,,,,2020-01-01
3,CVE-2020-0004,2020-01-08,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-01-01'],0,[],1,1,,,,,,,2020-01-01,,,,,,,,2020-01-01
4,CVE-2020-0005,2020-02-13,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
5,CVE-2020-0006,2020-01-08,4.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-01-01'],0,[],1,1,,,,,,,2020-01-01,,,,,,,,2020-01-01
6,CVE-2020-0007,2020-01-08,2.1,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-01-01'],0,[],1,1,,,,,,,2020-01-01,,,,,,,,2020-01-01
7,CVE-2020-0008,2020-01-08,1.9,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-01-01'],0,[],1,1,,,,,,,2020-01-01,,,,,,,,2020-01-01
8,CVE-2020-0009,2020-01-08,2.1,Local,Low,OS,Google,Android,"['http://packetstormsecurity.com/files/155903/Android-ashmem-Read-Only-Bypasses.html'
 'https://source.android.com/security/bulletin/2020-01-01'
 'https://lists.debian.org/debian-lts-announce/2020/06/msg00011.html'
 'https://lists.debian.org/debian-lts-announce/2020/06/msg00013.html']",0,[],1,1,,,,,,,2020-01-05,,,,,,,,2020-01-05
9,CVE-2020-0010,2020-03-10,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-05,,,,,,,,2020-03-05
10,CVE-2020-0011,2020-03-10,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-05,,,,,,,,2020-03-05
11,CVE-2020-0012,2020-03-10,7.2,Local,Low,OS,Google,Android,['https://source.android.com/security/bulletin/2020-03-01'],0,[],1,1,,,,,,,2020-03-05,,,,,,,,2020-03-05
12,CVE-2020-0014,2020-02-13,4.3,Remote,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
13,CVE-2020-0015,2020-02-13,4.4,Local,Medium,OS,Google,Android,['https://source.android.com/security/bulletin/2020-02-01'],0,[],1,1,,,,,,,2020-02-01,,,,,,,,2020-02-01
